partCode	scr_Akqall_51_norm	scr_Akqall_52_norm	scr_Akqall_53_norm	scr_Akq1_51_norm	scr_Akq1_52_norm	scr_Akq1_53_norm	scr_Akq2_51_norm	scr_Akq2_52_norm	scr_Akq2_53_norm	scr_Akqall_51_raw	scr_Akqall_52_raw	scr_Akqall_53_raw	scr_Akq1_51_raw	scr_Akq1_52_raw	scr_Akq1_53_raw	scr_Akq2_51_raw	scr_Akq2_52_raw	scr_Akq2_53_raw	
EL07CH15	0.074312	-0.010181	-0.037886	0.194020	0.050166	-0.005591	-0.045395	-0.070528	-0.070182	0.039111	-0.005358	-0.019940	0.102114	0.026403	-0.002943	-0.023892	-0.037120	-0.036937	
EN05AN11	0.222498	0.017953	0.038284	0.280471	0.051596	0.119797	0.164524	-0.015690	-0.043229	0.260017	0.020980	0.044740	0.327766	0.060297	0.139998	0.192268	-0.018336	-0.050519	
EN07LF06	0.065270	0.053975	-0.003746	0.017336	0.006122	-0.001741	0.113203	0.101828	-0.005752	0.068973	0.057038	-0.003959	0.018320	0.006470	-0.001840	0.119625	0.107606	-0.006078	
EN09RD15	0.142157	0.006434	0.059750	0.105888	0.040779	0.064034	0.178425	-0.027911	0.055467	0.060802	0.002752	0.025556	0.045289	0.017441	0.027388	0.076314	-0.011938	0.023724	
ER05EL02	0.008221	0.034651	0.068184	-0.009576	-0.002791	-0.004648	0.026019	0.072093	0.141016	0.007099	0.029923	0.058880	-0.008270	-0.002410	-0.004014	0.022468	0.062256	0.121775	
ER06RD12	0.212296	-0.058671	-0.066903	0.378340	-0.034325	-0.067521	0.046252	-0.083018	-0.066285	0.062904	-0.017385	-0.019824	0.112103	-0.010171	-0.020007	0.013705	-0.024599	-0.019641	
ER07AS29	0.159383	0.138491	0.162729	0.147435	0.081815	0.053347	0.171330	0.195168	0.272111	0.155681	0.135275	0.158950	0.144010	0.079914	0.052108	0.167351	0.190635	0.265791	
ER07LD07	0.338902	-0.022798	0.054952	0.360546	0.068481	0.116323	0.317258	-0.114076	-0.006419	0.091547	-0.006158	0.014844	0.097394	0.018499	0.031422	0.085701	-0.030815	-0.001734	
EZ06EN31	-0.076616	-0.076694	-0.020633	-0.179927	-0.153389	-0.067961	0.026694	0.000000	0.026694	-0.000287	-0.000287	-0.000077	-0.000674	-0.000575	-0.000255	0.000100	0.000000	0.000100	
HA04IH18	0.327631	0.044983	0.039054	0.493863	0.111788	0.069691	0.161400	-0.021822	0.008417	0.343517	0.047164	0.040948	0.517808	0.117208	0.073070	0.169225	-0.022880	0.008826	
HM08LE07	0.047237	0.028835	-0.019854	0.102398	0.065431	-0.034545	-0.007924	-0.007762	-0.005163	0.006938	0.004235	-0.002916	0.015041	0.009611	-0.005074	-0.001164	-0.001140	-0.000758	
IG08AR03	0.083622	0.037766	-0.140815	0.256136	0.047577	-0.080417	-0.088892	0.027956	-0.201214	0.005962	0.002693	-0.010040	0.018262	0.003392	-0.005733	-0.006338	0.001993	-0.014346	
IL06IN05	0.103663	0.010082	0.059309	0.094138	0.060217	0.118703	0.113189	-0.040052	-0.000085	0.108744	0.010577	0.062216	0.098751	0.063168	0.124521	0.118736	-0.042015	-0.000089	
IL09ER08	-0.064963	-0.062759	-0.051991	-0.143714	-0.074323	-0.069748	0.013788	-0.051195	-0.034233	-0.033842	-0.032693	-0.027084	-0.074866	-0.038717	-0.036334	0.007182	-0.026669	-0.017833	
IN05IM17	0.056111	0.101650	-0.041188	0.080323	0.224703	-0.041819	0.031899	-0.021403	-0.040556	0.017577	0.031843	-0.012902	0.025162	0.070391	-0.013100	0.009993	-0.006705	-0.012705	
IN09LF17	0.297202	0.000015	-0.001227	0.309567	0.009284	0.009578	0.284837	-0.009255	-0.012031	0.320383	0.000016	-0.001322	0.333712	0.010008	0.010325	0.307053	-0.009977	-0.012970	
IX07AS13	0.441798	0.102847	0.059477	0.542019	0.217843	0.092553	0.341577	-0.012150	0.026400	0.321527	0.074849	0.043285	0.394465	0.158540	0.067357	0.248589	-0.008842	0.019213	
JA05RL22	0.050940	0.014884	0.083039	0.050439	0.049355	0.149142	0.051442	-0.019586	0.016937	0.048170	0.014075	0.078524	0.047696	0.046671	0.141032	0.048645	-0.018521	0.016016	
KE05RD15	0.103760	0.055668	0.041391	0.222059	0.181019	0.144533	-0.014539	-0.069684	-0.061751	0.012911	0.006927	0.005150	0.027630	0.022524	0.017984	-0.001809	-0.008671	-0.007684	
KE06ER07	-0.031569	0.023171	-0.026219	-0.002890	0.061033	-0.044491	-0.060249	-0.014692	-0.007947	-0.007342	0.005389	-0.006098	-0.000672	0.014195	-0.010348	-0.014012	-0.003417	-0.001848	
LD08LF01	0.263647	0.103568	0.100413	0.431818	0.185017	0.145283	0.095476	0.022119	0.055544	0.104825	0.041178	0.039924	0.171689	0.073562	0.057764	0.037961	0.008794	0.022084	
LE06KO07	0.004265	0.029512	0.010823	0.008286	-0.000413	0.006344	0.000244	0.059437	0.015302	0.008627	0.059688	0.021889	0.016759	-0.000835	0.012830	0.000494	0.120211	0.030948	
LL06ER17	0.035106	0.169301	0.018543	0.089674	0.211042	0.055223	-0.019462	0.127560	-0.018137	0.030139	0.145343	0.015919	0.076985	0.181178	0.047409	-0.016708	0.109509	-0.015571	
LT07EL10	-0.016014	0.123973	0.194080	0.023064	-0.055597	0.293056	-0.055093	0.303542	0.095104	-0.017789	0.137711	0.215587	0.025619	-0.061758	0.325531	-0.061198	0.337180	0.105643	
LZ05AN21	0.090396	-0.107103	0.069734	0.158139	-0.078060	0.256239	0.022653	-0.136146	-0.116772	0.052095	-0.061723	0.040188	0.091135	-0.044986	0.147671	0.013055	-0.078461	-0.067295	
MY05EN23	0.105752	0.004485	0.049394	0.236190	0.010492	0.105656	-0.024685	-0.001523	-0.006868	0.171796	0.007285	0.080241	0.383694	0.017045	0.171640	-0.040101	-0.002474	-0.011157	
NE08IM07	0.039136	-0.029956	-0.068042	-0.050146	-0.009912	-0.086084	0.128418	-0.050000	-0.050000	0.000078	-0.000060	-0.000136	-0.000100	-0.000020	-0.000172	0.000257	-0.000100	-0.000100	
NN05CH10	-0.027656	0.044712	-0.043947	-0.047083	0.155560	-0.039181	-0.008230	-0.066136	-0.048713	-0.019573	0.031643	-0.031102	-0.033321	0.110091	-0.027729	-0.005824	-0.046805	-0.034475	
NN09AS30	0.068113	0.011549	0.067484	0.008636	-0.002966	0.039759	0.127590	0.026064	0.095209	0.035295	0.005984	0.034970	0.004475	-0.001537	0.020603	0.066116	0.013506	0.049336	
NN09LD03	-0.001885	0.024961	0.014343	-0.016134	0.076823	0.053491	0.012364	-0.026901	-0.024805	-0.000129	0.001711	0.000983	-0.001106	0.005266	0.003667	0.000848	-0.001844	-0.001700	
OP05IG02	0.070536	0.012313	0.109342	0.099412	0.035470	0.095245	0.041659	-0.010844	0.123439	0.048488	0.008464	0.075165	0.068339	0.024383	0.065475	0.028638	-0.007454	0.084856	
SS08NN01	0.082656	0.009311	0.035023	-0.004391	0.021147	0.029552	0.169702	-0.002524	0.040493	0.125743	0.014165	0.053280	-0.006680	0.032171	0.044957	0.258167	-0.003840	0.061602	
ST06RT16	0.290030	0.008456	0.016830	0.306389	0.007038	0.114570	0.273672	0.009874	-0.080910	0.422927	0.012331	0.024542	0.446780	0.010263	0.167068	0.399073	0.014399	-0.117984	
TA08RT19	0.051926	0.057822	-0.039594	0.044132	-0.029416	-0.043874	0.059719	0.145060	-0.035314	0.021900	0.024386	-0.016699	0.018613	-0.012406	-0.018504	0.025187	0.061179	-0.014893	
TZ03UL29	0.019912	-0.003044	0.031958	0.052409	0.012572	0.070133	-0.012585	-0.018661	-0.006217	0.006190	-0.000946	0.009934	0.016292	0.003908	0.021801	-0.003912	-0.005801	-0.001933	
UN05WE18	0.029755	-0.014565	0.023644	0.084542	-0.011337	-0.028570	-0.025031	-0.017794	0.075858	0.003512	-0.001719	0.002790	0.009977	-0.001338	-0.003372	-0.002954	-0.002100	0.008952	
UN06AS18	0.045338	0.114561	0.079764	0.055374	0.141810	0.128372	0.035302	0.087312	0.031157	0.065049	0.164368	0.114443	0.079448	0.203464	0.184184	0.050650	0.125273	0.044703	
VA06ID03	-0.022689	-0.007227	-0.037307	-0.025862	0.008191	-0.059707	-0.019516	-0.022644	-0.014907	-0.002811	-0.000895	-0.004622	-0.003204	0.001015	-0.007398	-0.002418	-0.002806	-0.001847	
